iter	Passed	Remaining
0	3	3048
1	5	2921
2	8	2979
3	10	2687
4	13	2706
5	15	2637
6	18	2660
7	21	2692
8	24	2671
9	25	2564
10	27	2515
11	30	2518
12	33	2506
13	36	2558
14	38	2549
15	41	2562
16	44	2558
17	46	2519
18	49	2530
19	51	2503
20	54	2542
21	57	2554
22	59	2521
23	61	2483
24	62	2447
25	65	2463
26	68	2465
27	71	2485
28	73	2464
29	75	2441
30	78	2464
31	80	2445
32	83	2450
33	86	2457
34	88	2448
35	92	2469
36	95	2483
37	99	2526
38	102	2516
39	103	2488
40	105	2471
41	109	2487
42	111	2479
43	114	2489
44	118	2520
45	121	2522
46	123	2513
47	126	2510
48	128	2496
49	131	2503
50	135	2522
51	138	2519
52	139	2494
53	142	2501
54	145	2497
55	147	2488
56	150	2496
57	154	2503
58	155	2483
59	159	2496
60	161	2485
61	163	2476
62	166	2480
63	170	2487
64	171	2469
65	174	2474
66	177	2467
67	179	2453
68	180	2441
69	184	2451
70	187	2455
71	190	2459
72	193	2452
73	195	2441
74	196	2424
75	198	2411
76	200	2400
77	202	2392
78	204	2387
79	206	2373
80	208	2364
81	211	2366
82	213	2362
83	217	2368
84	218	2354
85	221	2356
86	223	2350
87	227	2355
88	229	2352
89	232	2348
90	233	2334
91	235	2320
92	236	2307
93	239	2310
94	241	2304
95	244	2299
96	247	2303
97	249	2292
98	252	2293
99	254	2294
100	257	2293
101	260	2292
102	262	2289
103	266	2293
104	267	2280
105	269	2269
106	270	2261
107	272	2253
108	275	2250
109	278	2253
110	281	2254
111	283	2250
112	286	2246
113	289	2247
114	290	2237
115	292	2231
116	294	2224
117	297	2227
118	301	2230
119	302	2219
120	304	2213
121	306	2202
122	308	2199
123	311	2201
124	314	2203
125	317	2202
126	319	2193
127	322	2197
128	325	2199
129	329	2207
130	332	2202
131	334	2198
132	335	2189
133	338	2187
134	340	2183
135	343	2185
136	345	2177
137	349	2181
138	352	2184
139	355	2184
140	357	2180
141	359	2173
142	361	2167
143	364	2164
144	367	2164
145	370	2167
146	372	2159
147	375	2159
148	377	2158
149	380	2153
150	381	2145
151	384	2142
152	386	2137
153	388	2135
154	391	2133
155	395	2139
156	397	2136
157	400	2136
158	403	2135
159	406	2133
160	409	2131
161	412	2133
162	414	2127
163	418	2131
164	421	2131
165	422	2123
166	426	2127
167	428	2122
168	430	2115
169	433	2116
170	436	2114
171	437	2108
172	441	2112
173	445	2116
174	447	2108
175	450	2108
176	452	2102
177	455	2103
178	459	2105
179	460	2098
180	463	2096
181	465	2092
182	468	2093
183	471	2089
184	473	2086
185	476	2085
186	478	2078
187	480	2075
188	483	2074
189	486	2073
190	489	2072
191	492	2074
192	495	2073
193	497	2067
194	499	2062
195	502	2062
196	504	2058
197	508	2060
198	511	2059
199	512	2051
200	515	2050
201	519	2050
202	522	2051
203	524	2047
204	526	2040
205	528	2035
206	531	2036
207	534	2036
208	537	2034
209	538	2027
210	542	2029
211	545	2027
212	549	2028
213	551	2025
214	552	2018
215	557	2021
216	558	2015
217	561	2013
218	564	2011
219	566	2008
220	569	2007
221	573	2010
222	577	2012
223	581	2014
224	584	2013
225	585	2006
226	589	2006
227	593	2008
228	595	2005
229	598	2004
230	601	2003
231	604	2001
232	608	2003
233	612	2003
234	613	1996
235	615	1991
236	616	1984
237	619	1984
238	623	1984
239	626	1983
240	630	1984
241	633	1983
242	636	1981
243	639	1980
244	641	1977
245	645	1977
246	647	1972
247	650	1971
248	653	1971
249	656	1968
250	659	1966
251	662	1967
252	664	1961
253	666	1956
254	669	1956
255	671	1950
256	674	1949
257	677	1949
258	680	1947
259	684	1947
260	688	1949
261	690	1945
262	693	1944
263	696	1941
264	698	1938
265	702	1938
266	704	1933
267	707	1931
268	709	1927
269	710	1920
270	713	1919
271	716	1917
272	720	1917
273	723	1915
274	726	1914
275	727	1907
276	730	1906
277	733	1905
278	735	1901
279	738	1899
280	741	1898
281	743	1893
282	746	1891
283	750	1892
284	753	1889
285	756	1888
286	760	1889
287	763	1887
288	765	1882
289	768	1882
290	772	1881
291	776	1881
292	779	1880
293	782	1880
294	786	1879
295	790	1879
296	793	1878
297	796	1877
298	799	1875
299	803	1873
300	804	1868
301	808	1868
302	810	1864
303	818	1872
304	821	1871
305	824	1869
306	827	1867
307	830	1865
308	834	1865
309	837	1864
310	841	1864
311	844	1862
312	847	1861
313	851	1860
314	855	1860
315	858	1858
316	861	1856
317	866	1857
318	869	1855
319	872	1854
320	875	1852
321	879	1851
322	882	1850
323	886	1848
324	889	1846
325	892	1844
326	895	1842
327	899	1842
328	902	1841
329	906	1841
330	910	1839
331	913	1837
332	916	1835
333	919	1834
334	923	1833
335	926	1831
336	930	1830
337	934	1829
338	937	1828
339	941	1826
340	944	1825
341	948	1824
342	951	1822
343	955	1821
344	958	1819
345	961	1817
346	965	1816
347	969	1815
348	973	1815
349	976	1813
350	980	1813
351	984	1811
352	988	1810
353	991	1808
354	994	1807
355	998	1806
356	1001	1803
357	1005	1802
358	1008	1801
359	1012	1800
360	1015	1798
361	1018	1795
362	1022	1793
363	1025	1791
364	1029	1790
365	1032	1788
366	1036	1787
367	1039	1784
368	1042	1782
369	1045	1780
370	1049	1778
371	1053	1778
372	1056	1776
373	1060	1774
374	1063	1772
375	1066	1769
376	1070	1768
377	1073	1766
378	1078	1766
379	1081	1764
380	1084	1762
381	1087	1759
382	1091	1757
383	1095	1756
384	1098	1754
385	1101	1752
386	1105	1750
387	1108	1748
388	1111	1746
389	1115	1744
390	1118	1742
391	1121	1739
392	1125	1737
393	1128	1735
394	1131	1733
395	1135	1731
396	1138	1729
397	1142	1727
398	1146	1726
399	1150	1725
400	1153	1722
401	1156	1720
402	1160	1718
403	1163	1716
404	1166	1713
405	1169	1711
406	1177	1715
407	1182	1715
408	1187	1715
409	1192	1715
410	1201	1721
411	1206	1721
412	1211	1722
413	1214	1719
414	1242	1751
415	1258	1766
416	1264	1767
417	1269	1767
418	1274	1766
419	1278	1765
420	1285	1767
421	1292	1769
422	1295	1767
423	1299	1765
424	1303	1762
425	1307	1761
426	1310	1759
427	1313	1755
428	1317	1753
429	1320	1750
430	1325	1749
431	1329	1747
432	1332	1745
433	1336	1742
434	1339	1740
435	1343	1737
436	1347	1735
437	1350	1733
438	1353	1730
439	1357	1727
440	1360	1724
441	1363	1721
442	1366	1718
443	1369	1714
444	1373	1712
445	1376	1709
446	1379	1707
447	1383	1704
448	1386	1701
449	1389	1698
450	1393	1696
451	1397	1694
452	1400	1691
453	1404	1688
454	1407	1685
455	1410	1683
456	1414	1680
457	1417	1677
458	1420	1674
459	1424	1672
460	1428	1669
461	1431	1666
462	1434	1664
463	1438	1661
464	1441	1658
465	1444	1655
466	1448	1652
467	1451	1650
468	1455	1647
469	1459	1645
470	1462	1642
471	1466	1640
472	1469	1637
473	1472	1634
474	1475	1631
475	1479	1628
476	1482	1625
477	1486	1623
478	1489	1620
479	1493	1617
480	1496	1614
481	1500	1612
482	1504	1609
483	1507	1606
484	1510	1603
485	1513	1601
486	1517	1598
487	1521	1596
488	1525	1593
489	1529	1591
490	1532	1588
491	1535	1585
492	1538	1582
493	1542	1579
494	1545	1576
495	1548	1573
496	1552	1571
497	1556	1569
498	1559	1566
499	1562	1562
500	1565	1559
501	1569	1557
502	1573	1554
503	1576	1551
504	1579	1548
505	1583	1546
506	1587	1543
507	1591	1540
508	1594	1538
509	1598	1535
510	1601	1532
511	1605	1530
512	1610	1528
513	1613	1525
514	1616	1522
515	1619	1519
516	1623	1516
517	1627	1514
518	1630	1511
519	1634	1508
520	1637	1505
521	1641	1503
522	1645	1500
523	1648	1497
524	1652	1495
525	1655	1491
526	1658	1488
527	1662	1485
528	1666	1483
529	1669	1480
530	1673	1478
531	1676	1474
532	1680	1472
533	1684	1469
534	1687	1466
535	1690	1463
536	1694	1460
537	1697	1457
538	1701	1454
539	1705	1452
540	1708	1449
541	1711	1446
542	1715	1443
543	1718	1440
544	1721	1437
545	1725	1434
546	1728	1431
547	1732	1428
548	1736	1426
549	1740	1423
550	1743	1420
551	1747	1418
552	1751	1415
553	1755	1413
554	1758	1409
555	1761	1406
556	1765	1404
557	1768	1400
558	1771	1397
559	1774	1394
560	1777	1390
561	1780	1387
562	1784	1384
563	1787	1381
564	1790	1378
565	1793	1375
566	1797	1372
567	1801	1369
568	1804	1367
569	1807	1363
570	1811	1360
571	1815	1358
572	1818	1355
573	1821	1352
574	1825	1349
575	1828	1346
576	1832	1343
577	1836	1340
578	1840	1337
579	1843	1334
580	1847	1332
581	1850	1329
582	1854	1326
583	1858	1323
584	1861	1320
585	1865	1318
586	1869	1315
587	1872	1312
588	1876	1309
589	1880	1306
590	1883	1303
591	1887	1301
592	1891	1298
593	1895	1295
594	1899	1292
595	1902	1289
596	1906	1286
597	1909	1283
598	1913	1280
599	1916	1277
600	1920	1275
601	1924	1272
602	1928	1269
603	1931	1266
604	1935	1263
605	1938	1260
606	1941	1257
607	1945	1254
608	1949	1251
609	1952	1248
610	1956	1245
611	1959	1242
612	1963	1239
613	1966	1236
614	1969	1233
615	1972	1229
616	1976	1227
617	1980	1224
618	1984	1221
619	1987	1217
620	1990	1214
621	1994	1211
622	1997	1208
623	2001	1205
624	2004	1202
625	2007	1199
626	2010	1196
627	2014	1193
628	2017	1190
629	2021	1187
630	2024	1184
631	2028	1181
632	2032	1178
633	2035	1175
634	2039	1172
635	2043	1169
636	2046	1166
637	2050	1163
638	2054	1160
639	2057	1157
640	2060	1154
641	2064	1151
642	2068	1148
643	2071	1145
644	2076	1142
645	2079	1139
646	2083	1136
647	2087	1133
648	2091	1131
649	2094	1128
650	2098	1124
651	2101	1121
652	2105	1118
653	2108	1115
654	2112	1112
655	2115	1109
656	2119	1106
657	2123	1103
658	2127	1100
659	2130	1097
660	2133	1094
661	2136	1091
662	2140	1088
663	2143	1084
664	2147	1082
665	2151	1078
666	2154	1075
667	2158	1072
668	2162	1069
669	2165	1066
670	2168	1063
671	2173	1060
672	2176	1057
673	2180	1054
674	2183	1051
675	2187	1048
676	2191	1045
677	2194	1042
678	2197	1038
679	2200	1035
680	2204	1032
681	2207	1029
682	2210	1026
683	2214	1022
684	2217	1019
685	2221	1016
686	2225	1013
687	2228	1010
688	2231	1007
689	2235	1004
690	2238	1001
691	2242	998
692	2246	994
693	2249	991
694	2252	988
695	2256	985
696	2259	982
697	2263	979
698	2266	975
699	2270	973
700	2273	969
701	2277	966
702	2281	963
703	2285	960
704	2288	957
705	2291	954
706	2294	951
707	2298	947
708	2301	944
709	2304	941
710	2308	938
711	2312	935
712	2315	931
713	2318	928
714	2322	925
715	2325	922
716	2329	919
717	2332	916
718	2336	913
719	2340	910
720	2344	907
721	2347	904
722	2351	900
723	2354	897
724	2357	894
725	2361	891
726	2364	888
727	2368	884
728	2371	881
729	2375	878
730	2379	875
731	2382	872
732	2385	868
733	2389	865
734	2393	862
735	2396	859
736	2400	856
737	2404	853
738	2407	850
739	2410	846
740	2413	843
741	2417	840
742	2421	837
743	2425	834
744	2428	831
745	2432	828
746	2435	825
747	2439	821
748	2443	818
749	2446	815
750	2449	812
751	2453	809
752	2456	805
753	2459	802
754	2462	799
755	2466	795
756	2469	792
757	2473	789
758	2476	786
759	2479	783
760	2483	779
761	2486	776
762	2489	773
763	2492	770
764	2496	766
765	2500	763
766	2503	760
767	2507	757
768	2510	754
769	2514	751
770	2517	747
771	2521	744
772	2525	741
773	2528	738
774	2531	735
775	2535	731
776	2539	728
777	2542	725
778	2546	722
779	2549	719
780	2553	716
781	2557	712
782	2560	709
783	2564	706
784	2567	703
785	2572	700
786	2575	697
787	2579	693
788	2582	690
789	2586	687
790	2589	684
791	2593	681
792	2597	677
793	2600	674
794	2604	671
795	2608	668
796	2611	665
797	2615	662
798	2618	658
799	2622	655
800	2625	652
801	2629	649
802	2633	645
803	2636	642
804	2639	639
805	2643	636
806	2646	632
807	2649	629
808	2652	626
809	2656	623
810	2659	619
811	2663	616
812	2666	613
813	2670	610
814	2673	606
815	2678	603
816	2681	600
817	2685	597
818	2688	594
819	2692	590
820	2695	587
821	2698	584
822	2703	581
823	2706	578
824	2709	574
825	2713	571
826	2716	568
827	2720	565
828	2723	561
829	2726	558
830	2730	555
831	2733	551
832	2737	548
833	2740	545
834	2743	542
835	2747	538
836	2750	535
837	2754	532
838	2757	529
839	2760	525
840	2764	522
841	2767	519
842	2770	516
843	2775	512
844	2778	509
845	2782	506
846	2785	503
847	2789	499
848	2792	496
849	2796	493
850	2800	490
851	2803	486
852	2807	483
853	2810	480
854	2814	477
855	2818	474
856	2821	470
857	2825	467
858	2829	464
859	2832	461
860	2835	457
861	2838	454
862	2842	451
863	2845	447
864	2849	444
865	2852	441
866	2855	438
867	2859	434
868	2863	431
869	2867	428
870	2870	425
871	2874	421
872	2878	418
873	2881	415
874	2885	412
875	2888	408
876	2891	405
877	2896	402
878	2899	399
879	2903	395
880	2907	392
881	2910	389
882	2914	386
883	2917	382
884	2921	379
885	2924	376
886	2927	372
887	2931	369
888	2934	366
889	2938	363
890	2941	359
891	2945	356
892	2949	353
893	2952	350
894	2955	346
895	2959	343
896	2962	340
897	2965	336
898	2968	333
899	2971	330
900	2974	326
901	2977	323
902	2981	320
903	2984	316
904	2987	313
905	2991	310
906	2994	307
907	2997	303
908	3001	300
909	3004	297
910	3008	293
911	3012	290
912	3015	287
913	3019	284
914	3022	280
915	3026	277
916	3029	274
917	3033	270
918	3036	267
919	3040	264
920	3043	261
921	3047	257
922	3051	254
923	3054	251
924	3059	248
925	3062	244
926	3065	241
