iter	Passed	Remaining
0	9	9129
1	13	6616
2	19	6440
3	22	5651
4	25	5093
5	28	4744
6	33	4747
7	36	4583
8	41	4616
9	46	4576
10	49	4437
11	52	4344
12	55	4247
13	57	4064
14	59	3891
15	62	3848
16	65	3789
17	67	3706
18	70	3661
19	72	3564
20	74	3484
21	76	3389
22	79	3371
23	82	3350
24	85	3333
25	88	3312
26	91	3282
27	94	3271
28	97	3263
29	99	3207
30	103	3225
31	105	3203
32	108	3176
33	111	3164
34	114	3165
35	116	3121
36	118	3096
37	121	3068
38	123	3051
39	125	3015
40	127	2983
41	131	2989
42	133	2979
43	135	2954
44	137	2924
45	140	2905
46	141	2872
47	145	2882
48	147	2868
49	150	2853
50	152	2837
51	155	2835
52	158	2830
53	162	2839
54	164	2819
55	167	2818
56	169	2800
57	172	2797
58	175	2797
59	178	2793
60	181	2789
61	184	2791
62	186	2773
63	189	2768
64	193	2786
65	196	2785
66	200	2786
67	203	2784
68	204	2765
69	207	2762
70	211	2767
71	214	2762
72	218	2776
73	221	2772
74	223	2760
75	226	2749
76	228	2737
77	231	2739
78	234	2735
79	236	2718
80	239	2716
81	243	2720
82	246	2721
83	247	2701
84	249	2681
85	252	2679
86	253	2659
87	254	2642
88	257	2639
89	260	2632
90	262	2620
91	263	2604
92	266	2596
93	267	2580
94	270	2572
95	273	2577
96	276	2577
97	278	2561
98	282	2566
99	283	2550
100	286	2549
101	289	2551
102	291	2536
103	296	2553
104	299	2548
105	300	2538
106	304	2537
107	306	2534
108	309	2532
109	311	2521
110	314	2521
111	318	2521
112	321	2520
113	324	2525
114	327	2523
115	330	2519
116	332	2511
117	334	2502
118	337	2501
119	339	2488
120	341	2478
121	343	2472
122	346	2473
123	349	2472
124	353	2472
125	355	2466
126	358	2467
127	362	2472
128	365	2464
129	367	2459
130	369	2449
131	372	2449
132	375	2449
133	378	2445
134	381	2442
135	383	2434
136	384	2421
137	386	2417
138	389	2411
139	390	2399
140	392	2392
141	395	2388
142	398	2387
143	401	2385
144	404	2383
145	406	2379
146	408	2369
147	411	2367
148	414	2368
149	417	2365
150	419	2359
151	422	2356
152	424	2349
153	427	2350
154	430	2349
155	433	2346
156	435	2340
157	438	2338
158	441	2332
159	442	2325
160	446	2326
161	447	2317
162	450	2312
163	452	2304
164	453	2296
165	455	2287
166	458	2286
167	459	2278
168	462	2275
169	465	2273
170	469	2273
171	470	2264
172	473	2264
173	477	2265
174	478	2257
175	480	2248
176	482	2244
177	485	2240
178	487	2235
179	489	2231
180	493	2232
181	495	2228
182	497	2221
183	500	2220
184	504	2220
185	507	2219
186	511	2223
187	514	2220
188	517	2221
189	519	2213
190	521	2208
191	524	2208
192	528	2208
193	532	2213
194	536	2215
195	538	2210
196	542	2209
197	545	2208
198	547	2205
199	552	2208
200	553	2201
201	555	2195
202	557	2190
203	561	2189
204	563	2183
205	564	2175
206	566	2168
207	567	2161
208	570	2160
209	574	2160
210	575	2152
211	577	2146
212	578	2138
213	581	2137
214	585	2136
215	588	2134
216	591	2132
217	594	2131
218	597	2129
219	598	2122
220	601	2119
221	605	2120
222	609	2122
223	611	2120
224	615	2119
225	616	2112
226	618	2105
227	620	2101
228	622	2095
229	625	2094
230	628	2092
231	631	2090
232	633	2085
233	636	2083
234	640	2084
235	643	2082
236	646	2080
237	648	2075
238	650	2072
239	653	2069
240	657	2070
241	660	2068
242	663	2065
243	666	2064
244	669	2062
245	671	2057
246	672	2050
247	675	2047
248	676	2040
249	677	2033
250	681	2034
251	683	2029
252	687	2031
253	691	2030
254	692	2023
255	695	2020
256	698	2020
257	700	2014
258	702	2008
259	706	2010
260	708	2006
261	711	2004
262	714	2003
263	718	2002
264	721	2002
265	725	2001
266	728	2000
267	731	1997
268	734	1996
269	737	1992
270	738	1987
271	741	1984
272	744	1982
273	746	1977
274	747	1970
275	750	1969
276	754	1970
277	758	1968
278	761	1967
279	764	1966
280	767	1964
281	771	1965
282	773	1959
283	774	1953
284	778	1952
285	781	1951
286	785	1952
287	787	1946
288	788	1941
289	792	1940
290	796	1939
291	799	1938
292	802	1936
293	805	1934
294	808	1932
295	812	1931
296	815	1929
297	818	1928
298	821	1926
299	824	1924
300	826	1919
301	829	1917
302	832	1914
303	835	1913
304	837	1907
305	840	1905
306	843	1903
307	845	1899
308	849	1899
309	853	1898
310	856	1896
311	857	1891
312	860	1888
313	863	1886
314	867	1885
315	870	1884
316	871	1878
317	875	1876
318	877	1874
319	881	1872
320	884	1871
321	887	1869
322	891	1867
323	894	1866
324	897	1864
325	901	1863
326	904	1861
327	908	1861
328	911	1859
329	915	1859
330	919	1857
331	922	1855
332	925	1854
333	929	1853
334	932	1851
335	936	1850
336	939	1847
337	941	1844
338	944	1842
339	948	1841
340	951	1839
341	954	1837
342	959	1837
343	962	1836
344	966	1834
345	969	1832
346	973	1831
347	975	1828
348	979	1826
349	982	1825
350	985	1822
351	989	1821
352	992	1819
353	996	1818
354	999	1816
355	1003	1814
356	1006	1812
357	1010	1811
358	1014	1810
359	1017	1808
360	1020	1806
361	1024	1805
362	1027	1803
363	1030	1800
364	1033	1798
365	1036	1796
366	1040	1794
367	1043	1791
368	1046	1790
369	1050	1788
370	1053	1786
371	1057	1785
372	1060	1783
373	1064	1781
374	1067	1778
375	1071	1777
376	1074	1774
377	1077	1772
378	1080	1769
379	1083	1767
380	1086	1765
381	1090	1763
382	1093	1761
383	1096	1759
384	1099	1757
385	1103	1755
386	1106	1753
387	1110	1751
388	1113	1749
389	1116	1746
390	1120	1745
391	1124	1743
392	1128	1742
393	1131	1740
394	1134	1737
395	1138	1735
396	1141	1733
397	1146	1733
398	1149	1731
399	1152	1728
400	1155	1725
401	1158	1723
402	1161	1720
403	1164	1718
404	1167	1715
405	1171	1713
406	1175	1712
407	1179	1710
408	1182	1708
409	1187	1708
410	1192	1709
411	1196	1707
412	1199	1705
413	1203	1703
414	1206	1700
415	1210	1698
416	1214	1697
417	1218	1696
418	1222	1695
419	1228	1696
420	1232	1695
421	1237	1695
422	1242	1694
423	1247	1694
424	1251	1693
425	1256	1693
426	1262	1693
427	1269	1697
428	1280	1703
429	1288	1708
430	1295	1710
431	1303	1714
432	1310	1716
433	1315	1715
434	1318	1712
435	1322	1710
436	1325	1708
437	1328	1704
438	1332	1702
439	1335	1699
440	1339	1697
441	1342	1695
442	1345	1692
443	1349	1689
444	1352	1687
445	1356	1685
446	1359	1682
447	1363	1679
448	1366	1676
449	1369	1673
450	1372	1670
451	1375	1667
452	1378	1664
453	1382	1662
454	1385	1659
455	1389	1657
456	1392	1654
457	1395	1651
458	1399	1649
459	1402	1646
460	1405	1643
461	1409	1641
462	1412	1638
463	1416	1636
464	1419	1633
465	1423	1631
466	1426	1628
467	1430	1625
468	1433	1623
469	1436	1619
470	1440	1617
471	1443	1614
472	1446	1611
473	1449	1608
474	1452	1605
475	1455	1602
476	1458	1599
477	1461	1596
478	1464	1593
479	1467	1589
480	1471	1587
481	1474	1584
482	1477	1581
483	1480	1578
484	1483	1575
485	1487	1573
486	1490	1569
487	1493	1566
488	1496	1564
489	1512	1574
490	1523	1579
491	1534	1584
492	1542	1586
493	1547	1585
494	1555	1586
495	1562	1587
496	1567	1586
497	1573	1586
498	1577	1583
499	1580	1580
500	1584	1578
501	1588	1575
502	1592	1573
503	1595	1569
504	1598	1566
505	1601	1563
506	1605	1560
507	1608	1557
508	1612	1555
509	1615	1551
510	1618	1548
511	1621	1545
512	1624	1542
513	1628	1539
514	1631	1536
515	1634	1533
516	1637	1530
517	1640	1526
518	1644	1524
519	1647	1520
520	1650	1517
521	1653	1514
522	1656	1511
523	1660	1508
524	1663	1505
525	1666	1502
526	1670	1498
527	1673	1495
528	1676	1492
529	1679	1489
530	1683	1486
531	1686	1483
532	1689	1480
533	1692	1477
534	1695	1473
535	1699	1470
536	1702	1467
537	1705	1464
538	1708	1461
539	1711	1457
